uniq_region,urban,age_s,prev,sens,spec
GN6_Labe,Rural,0.9429528712806311,0.4095,0.64125,0.18475
GN6_Kankan,Rural,0.9429528712806311,0.63975,0.8965,0.634
GN6_N'Zerekore,Rural,0.9429528712806311,0.74925,0.86175,0.5385
GN6_Kindia,Urban,-0.6052031546663289,0.21775,0.321,0.08425
GN6_Mamou,Urban,-0.6052031546663289,0.173,0.3055,0.08725
GN6_Faranah,Urban,-0.6052031546663289,0.3615,0.55575,0.2065
GN6_Conakry,Urban,-0.6052031546663289,0.02325,0.46625,0.013
GN6_Boke,Urban,-0.6052031546663289,0.1195,0.34225,0.07675
GN6_Labe,Urban,-0.6052031546663289,0.1535,0.2195,0.04275
GN6_Kankan,Urban,-0.6052031546663289,0.269,0.504,0.201
GN6_N'Zerekore,Urban,-0.6052031546663289,0.30975,0.50025,0.20675
GN6_Kindia,Rural,-0.6052031546663289,0.56025,0.7525,0.254
GN6_Mamou,Rural,-0.6052031546663289,0.44475,0.60325,0.19175
GN6_Faranah,Rural,-0.6052031546663289,0.73275,0.85275,0.426
GN6_Conakry,Rural,-0.6052031546663289,0.084,0.75675,0.0785
GN6_Boke,Rural,-0.6052031546663289,0.22475,0.702,0.29575
GN6_Labe,Rural,-0.6052031546663289,0.32025,0.516,0.1495
GN6_Kankan,Rural,-0.6052031546663289,0.5565,0.861,0.54275
GN6_N'Zerekore,Rural,-0.6052031546663289,0.6755,0.79975,0.447
GN6_Kindia,Urban,-1.5728006708831788,0.19975,0.28625,0.06125
GN6_Mamou,Urban,-1.5728006708831788,0.14925,0.25175,0.07475
GN6_Faranah,Urban,-1.5728006708831788,0.3045,0.49525,0.19225
GN6_Conakry,Urban,-1.5728006708831788,0.01775,0.38575,0.012
GN6_Boke,Urban,-1.5728006708831788,0.09275,0.285,0.06725
GN6_Labe,Urban,-1.5728006708831788,0.13075,0.16825,0.03475
GN6_Kankan,Urban,-1.5728006708831788,0.2415,0.46425,0.1575
